Have,Want,Trade,Name,Set,Low,Mid,High
1,0,0,Sprigatito - 012/193 - [Reverse Holofoil],SV02: Paldea Evolved,$0.02,$0.15,$2.95
2,0,0,Sprigatito - 012/193,SV02: Paldea Evolved,$0.01,$0.10,$2.95
1,0,0,Squawkabilly ex - 223/091 - [Holofoil],SV: Paldean Fates,$0.49,$1.05,$15.00
2,0,0,Spirit Mask,SWSH07: Evolving Skies,$0.01,$0.10,$2.52
1,0,0,Spiritomb C,Supreme Victors,$0.20,$0.38,$4.84
2,0,0,Spidops,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Spinarak,Shining Fates,$0.01,$0.07,$2.00
4,0,0,Spinarak,SWSH11: Lost Origin,$0.01,$0.05,$999.00
1,0,0,Spinda,SV04: Paradox Rift,$0.01,$0.05,$5.00
1,0,0,Spheal,Rising Rivals,$0.12,$0.32,$1.49
1,0,0,Spark - SWSH226 - [Holofoil],SWSH: Sword & Shield Promo Cards,$0.75,$1.31,$29.99
2,0,0,Solgaleo - [Holofoil],Celebrations,$0.03,$0.19,$5.00
3,0,0,Sneasel,SWSH06: Chilling Reign,$0.01,$0.06,$2.00
2,0,0,Snivy (1),Black and White,$0.08,$0.22,$3.93
3,0,0,Snom,Shining Fates,$0.01,$0.10,$2.49
1,0,0,Snorlax - [Reverse Holofoil],Call of Legends,$14.29,$16.97,$44.59
2,0,0,Snorlax - [Reverse Holofoil],Pokemon GO,$0.50,$1.25,$4.99
3,0,0,Snorlax - [Holofoil],Pokemon GO,$0.41,$1.00,$100.00
1,0,0,Snorlax,Crown Zenith,$0.01,$0.15,$1.24
1,0,0,Snorunt,Arceus,$0.18,$0.35,$12.61
5,0,0,Snorunt,Crown Zenith,$0.01,$0.05,$1.01
1,0,0,Snover,SM - Unified Minds,$0.01,$0.15,$4.99
1,0,0,Snubbull - [Unlimited],Neo Genesis,$0.16,$0.35,$999.99
1,0,0,Snubbull,Great Encounters,$0.16,$0.26,$1.56
1,0,0,Slowbro,Great Encounters,$0.29,$0.56,$0.99
2,0,0,Slowking ex - 086/193 - [Holofoil],SV02: Paldea Evolved,$0.25,$0.70,$8.00
2,0,0,Slowpoke - [Unlimited],Fossil,$0.06,$0.30,$20.24
2,0,0,Slowpoke,Unseen Forces,$0.20,$0.49,$8.99
2,0,0,Slowpoke,SM - Lost Thunder,$0.05,$0.23,$1.44
2,0,0,Slowpoke - 042/198,SV01: Scarlet & Violet Base Set,$0.01,$0.07,$2.95
1,0,0,Slowpoke - 042/198 - [Reverse Holofoil],SV01: Scarlet & Violet Base Set,$0.03,$0.15,$2.95
1,0,0,Slurpuff,XY Base Set,$0.00,$0.00,$0.00
1,0,0,Slurpuff,SWSH06: Chilling Reign,$0.01,$0.12,$2.00
2,0,0,Slurpuff,SWSH12: Silver Tempest,$0.01,$0.06,$1.28
1,0,0,Smoliv - 020/198,SV01: Scarlet & Violet Base Set,$0.01,$0.09,$2.95
2,0,0,Slaking V - [Holofoil],Pokemon GO,$0.14,$0.70,$5.95
1,0,0,Slaking V - 2023 (Gabriel Fernandez),World Championship Decks,$0.50,$1.08,$1.95
2,0,0,Sizzlipede (037),SWSH01: Sword & Shield Base Set,$0.01,$0.10,$1.29
1,0,0,Skarmory,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
1,0,0,Skaters' Park,SWSH08: Fusion Strike,$0.01,$0.10,$2.52
4,0,0,Skiploom,SWSH07: Evolving Skies,$0.01,$0.10,$1.50
2,0,0,Skiploom - [Reverse Holofoil],SWSH07: Evolving Skies,$0.05,$0.17,$4.06
1,0,0,Skwovet,SWSH06: Chilling Reign,$0.01,$0.06,$2.00
3,0,0,Simipour,Black and White,$0.06,$0.25,$3.77
2,0,0,Simisage,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
1,0,0,Simisage,SWSH08: Fusion Strike,$0.01,$0.08,$2.00
1,0,0,Shuckle,SV03: Obsidian Flames,$0.01,$0.10,$2.95
2,0,0,Shuppet,Secret Wonders,$0.10,$0.25,$5.89
3,0,0,Shuppet,SWSH06: Chilling Reign,$0.01,$0.06,$2.00
1,0,0,Shroomish,Supreme Victors,$0.19,$0.35,$8.99
1,0,0,Shroomish,Deoxys,$0.17,$0.50,$4.50
1,0,0,Shellder,SV: Scarlet & Violet 151,$0.01,$0.06,$5.00
2,0,0,Shellos,SWSH11: Lost Origin,$0.01,$0.05,$999.00
1,0,0,Shellos East Sea,Rising Rivals,$0.15,$0.30,$8.99
1,0,0,Shelmet,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
5,0,0,Shelmet,SWSH08: Fusion Strike,$0.01,$0.06,$2.00
5,0,0,Shinx,SWSH08: Fusion Strike,$0.01,$0.06,$2.00
4,0,0,Shinx,SWSH09: Brilliant Stars,$0.01,$0.05,$1.05
4,0,0,Shinx - 069/193,SV02: Paldea Evolved,$0.01,$0.08,$2.95
1,0,0,Sharpedo,SWSH07: Evolving Skies,$0.01,$0.15,$2.78
1,0,0,Sharpedo - [Reverse Holofoil],SWSH07: Evolving Skies,$0.03,$0.18,$2.00
1,0,0,Shauna,XY - Fates Collide,$0.01,$0.15,$1.31
2,0,0,Shaymin,SWSH10: Astral Radiance,$0.02,$0.10,$2.69
1,0,0,Serena (Full Art) - [Holofoil],SWSH12: Silver Tempest,$9.50,$13.78,$66.00
1,0,0,Servine (4),Black and White,$0.24,$0.51,$2.94
3,0,0,Seviper,SV02: Paldea Evolved,$0.01,$0.05,$2.95
3,0,0,Seedot,XY - Flashfire,$0.05,$0.23,$1.35
4,0,0,Seedot,SWSH04: Vivid Voltage,$0.01,$0.07,$2.00
1,0,0,Seel - [Reverse Holofoil],Supreme Victors,$0.71,$2.96,$3.08
1,0,0,Seadra,SWSH11: Lost Origin,$0.01,$0.07,$999.00
1,0,0,Seadra,SV: Scarlet & Violet 151,$0.01,$0.09,$5.00
1,0,0,Sceptile (30),Arceus,$0.61,$0.88,$4.48
2,0,0,Scizor Spirit Link,XY - BREAKpoint,$0.02,$0.20,$1.32
1,0,0,Scolipede,XY Base Set,$0.09,$0.33,$2.11
1,0,0,Scovillain - 029/198,SV01: Scarlet & Violet Base Set,$0.01,$0.09,$2.95
1,0,0,Scrafty,Black and White,$0.25,$0.58,$4.88
1,0,0,Scrafty - [Reverse Holofoil],SV: Paldean Fates,$0.02,$0.15,$1.29
1,0,0,Scyther (005),SWSH10: Astral Radiance,$0.01,$0.06,$2.00
1,0,0,Sawk,Black and White,$0.15,$0.58,$16.42
2,0,0,Sandaconda,McDonald's Promos 2023,$0.01,$0.13,$1.36
1,0,0,Sandshrew,Supreme Victors,$0.18,$0.27,$1.00
2,0,0,Sandshrew,SWSH08: Fusion Strike,$0.01,$0.08,$1.28
1,0,0,Sandshrew - [Reverse Holofoil],SWSH08: Fusion Strike,$0.03,$0.20,$1.58
1,0,0,Sandslash,SV: Scarlet & Violet 151,$0.01,$0.08,$4.00
1,0,0,Salazzle,SV03: Obsidian Flames,$0.01,$0.06,$2.95
2,0,0,Sableye - [Holofoil],SV02: Paldea Evolved,$0.01,$0.15,$2.95
1,0,0,Sabrina's Drowzee - [Unlimited],Gym Challenge,$0.23,$0.50,$2.49
2,0,0,Sabrina's Gastly (96) - [Unlimited],Gym Challenge,$0.24,$0.70,$3.17
2,0,0,Ryme,SV03: Obsidian Flames,$0.01,$0.10,$3.30
1,0,0,Rookidee,SWSH08: Fusion Strike,$0.01,$0.08,$2.00
1,0,0,Rookidee - [Reverse Holofoil],SWSH08: Fusion Strike,$0.05,$0.16,$2.00
2,0,0,Rookidee - [Reverse Holofoil],SV02: Paldea Evolved,$0.01,$0.10,$2.95
5,0,0,Rookidee,SV02: Paldea Evolved,$0.01,$0.06,$2.95
2,0,0,Rose,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
3,0,0,Roselia,SWSH11: Lost Origin,$0.01,$0.06,$5.00
5,0,0,Rotom,SWSH08: Fusion Strike,$0.01,$0.07,$2.00
2,0,0,Rotom V - [Holofoil],Crown Zenith,$1.10,$1.89,$999.99
2,0,0,Rotom VSTAR - [Holofoil],Crown Zenith,$0.40,$1.00,$19.95
2,0,0,Rockruff,SWSH11: Lost Origin,$0.01,$0.05,$999.00
1,0,0,Rocky Helmet,SV01: Scarlet & Violet Base Set,$0.01,$0.08,$2.95
1,0,0,Roller Skates,XY Base Set,$0.03,$0.20,$1.32
1,0,0,Riolu,Next Destinies,$0.12,$0.25,$7.16
2,0,0,Riolu,SWSH04: Vivid Voltage,$0.01,$0.09,$2.00
5,0,0,Riolu,Crown Zenith,$0.01,$0.06,$5.00
1,0,0,Rhydon - [Reverse Holofoil],SV: Scarlet & Violet 151,$0.03,$0.17,$1.95
1,0,0,Rhydon,SV: Scarlet & Violet 151,$0.01,$0.10,$4.00
4,0,0,Rhyhorn - [Unlimited],Jungle,$0.09,$0.27,$2.00
1,0,0,Rhyhorn - [1st Edition],Jungle,$0.20,$1.08,$8.69
1,0,0,Rhyhorn - [Reverse Holofoil],SWSH11: Lost Origin,$0.09,$0.22,$1.35
1,0,0,Rhyhorn,SWSH11: Lost Origin,$0.01,$0.05,$2.00
1,0,0,Rhyhorn,SV: Scarlet & Violet 151,$0.01,$0.08,"$10,000.00"
1,0,0,Rhyhorn (92),SM - Unbroken Bonds,$0.03,$0.15,$1.60
5,0,0,Ribbon Badge,SWSH07: Evolving Skies,$0.01,$0.10,$1.00
4,0,0,Ribombee,SWSH07: Evolving Skies,$0.01,$0.10,$3.00
1,0,0,Riley,SWSH11: Lost Origin,$0.01,$0.07,$1.24
6,0,0,Relicanth,SWSH12: Silver Tempest,$0.01,$0.05,$1.28
3,0,0,Rellor - 026/193,SV02: Paldea Evolved,$0.01,$0.07,$2.95
1,0,0,Reshiram V - [Holofoil],SWSH12: Silver Tempest,$0.20,$0.65,$4.99
1,0,0,Regigigas (37),Legends Awakened,$0.55,$1.11,$2.99
1,0,0,Recycle - [1st Edition],Fossil,$0.14,$0.35,$3.99
2,0,0,Ralts,SM - Burning Shadows,$0.04,$0.15,$2.15
2,0,0,Ralts,SWSH06: Chilling Reign,$0.01,$0.08,$5.00
2,0,0,Ralts,SWSH12: Silver Tempest,$0.01,$0.09,$1.28
1,0,0,Ralts - 084/198,SV01: Scarlet & Violet Base Set,$0.01,$0.09,$2.95
1,0,0,Ralts - 68/109 - [Reverse Holofoil],Ruby and Sapphire,$4.10,$5.57,$8.11
5,0,0,Rapid Strike Scroll of the Flying Dragon,SWSH07: Evolving Skies,$0.01,$0.08,$2.00
1,0,0,Rapidash - [Unlimited],Jungle,$0.25,$0.69,$11.00
1,0,0,Rare Candy,Pokemon GO,$0.01,$0.15,$2.95
1,0,0,Rare Candy - [Reverse Holofoil],Pokemon GO,$0.09,$0.34,$5.95
1,0,0,Rattata,XY - BREAKpoint,$0.02,$0.15,$2.27
2,0,0,Raichu,SWSH12: Silver Tempest,$0.01,$0.10,$1.28
1,0,0,Raichu V - [Holofoil],SWSH09: Brilliant Stars,$0.79,$1.70,$24.99
1,0,0,Raihan - [Reverse Holofoil],Crown Zenith,$0.11,$0.36,$2.99
1,0,0,Quilava,Call of Legends,$0.19,$0.41,$7.42
1,0,0,Raboot,SWSH06: Chilling Reign,$0.01,$0.10,$2.00
1,0,0,Radiant Eternatus - [Holofoil],Crown Zenith,$0.10,$0.50,$999.99
2,0,0,Pyroar,SWSH07: Evolving Skies,$0.01,$0.10,$1.28
4,0,0,Pyroar - 032/193,SV02: Paldea Evolved,$0.01,$0.07,$2.95
1,0,0,Quagsire,Team Rocket Returns,$0.85,$1.72,$999.99
2,0,0,Quaxly - [Holofoil],SV01: Scarlet & Violet Base Set,$0.00,$0.00,$0.00
2,0,0,Quaxly - 049/193,SV02: Paldea Evolved,$0.01,$0.08,$2.95
1,0,0,Quaxly - 206/193 - [Holofoil],SV02: Paldea Evolved,$4.50,$7.00,$16.20
1,0,0,Pupitar - [Reverse Holofoil],Dragon Frontiers,$1.90,$1.99,$2.99
5,0,0,Pupitar,SV02: Paldea Evolved,$0.01,$0.05,$2.95
2,0,0,Pupitar (38),Unleashed,$0.20,$0.35,$4.50
2,0,0,Purrloin,SWSH09: Brilliant Stars,$0.01,$0.05,$2.00
1,0,0,Psychic Energy (Texture Full Art) - [Holofoil],Crown Zenith,$0.95,$2.25,$9.99
1,0,0,Psyduck,Platinum,$0.28,$0.89,$2.49
2,0,0,Psyduck,Hidden Fates,$0.01,$0.10,$1.28
2,0,0,Psyduck,SWSH10: Astral Radiance,$0.01,$0.06,$1.00
4,0,0,Prinplup,SWSH09: Brilliant Stars,$0.01,$0.07,$1.00
2,0,0,Probopass,SWSH09: Brilliant Stars,$0.01,$0.06,$1.28
1,0,0,Professor Burnet - SWSH167,SWSH: Sword & Shield Promo Cards,$0.02,$0.20,$19.99
2,0,0,Professor Laventon,SWSH12: Silver Tempest,$0.01,$0.08,$1.28
1,0,0,Professor Laventon - [Reverse Holofoil],SWSH12: Silver Tempest,$0.03,$0.15,$1.32
2,0,0,Professor's Letter,XY Base Set,$0.04,$0.31,$3.01
2,0,0,Professor's Letter,XY - BREAKthrough,$0.03,$0.27,$4.00
2,0,0,Professor's Research - 087/091 - [Holofoil],SV: Paldean Fates,$0.01,$0.10,$1.29
2,0,0,Professor's Research - 087/091 - [Reverse Holofoil],SV: Paldean Fates,$0.02,$0.15,$5.06
2,0,0,Primeape,SV01: Scarlet & Violet Base Set,$0.01,$0.07,$2.95
1,0,0,Primeape - 046/091 - [Reverse Holofoil],SV: Paldean Fates,$0.01,$0.12,$1.32
2,0,0,Poliwag,Base Set 2,$0.15,$0.34,$11.00
1,0,0,Poliwag,SV: Scarlet & Violet 151,$0.01,$0.08,$4.00
1,0,0,Poliwag (37),SM - Unbroken Bonds,$0.05,$0.18,$1.40
2,0,0,Poliwhirl,SWSH11: Lost Origin,$0.01,$0.09,$1.00
1,0,0,Polteageist,SWSH03: Darkness Ablaze,$0.01,$0.10,$1.41
1,0,0,Ponyta,Base Set,$0.08,$0.37,$5.74
1,0,0,Ponyta,Diamond and Pearl,$0.05,$0.25,$3.72
1,0,0,Poochyena,Platinum,$0.20,$0.38,$2.68
2,0,0,Poochyena,SM - Team Up,$0.05,$0.17,$1.00
2,0,0,Poochyena,SWSH04: Vivid Voltage,$0.01,$0.10,$2.00
1,0,0,Poochyena - [Reverse Holofoil],SWSH04: Vivid Voltage,$0.05,$0.15,$2.00
1,0,0,Popplio - 23/25,McDonald's 25th Anniversary Promos,$0.09,$0.25,$5.00
1,0,0,Porygon2,Triumphant,$0.22,$0.40,$4.36
2,0,0,Potion,Ruby and Sapphire,$0.01,$0.23,$3.50
1,0,0,Potion,XY - BREAKpoint,$0.01,$0.12,$1.28
1,0,0,Potion,SM Base Set,$0.01,$0.10,$2.00
1,0,0,Potion,SV01: Scarlet & Violet Base Set,$0.01,$0.10,$2.95
1,0,0,Poipole,SM - Unified Minds,$0.08,$0.19,$4.99
1,0,0,Poison Barb,SM Base Set,$0.02,$0.17,$1.33
1,0,0,Pokedex,Base Set,$0.13,$0.36,$5.74
4,0,0,Pincurchin,Crown Zenith,$0.01,$0.05,$5.00
1,0,0,Pincurchin - 072/193 - [Reverse Holofoil],SV02: Paldea Evolved,$0.01,$0.12,$2.95
2,0,0,Pincurchin - 072/193,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Pinsir,Supreme Victors,$0.25,$0.50,$1.52
1,0,0,Phione,SWSH12: Silver Tempest,$0.01,$0.10,$2.00
2,0,0,Pidgeot,Call of Legends,$1.25,$2.24,$11.00
1,0,0,Pidgey,Call of Legends,$0.10,$0.25,$8.99
1,0,0,Pidgey,SV03: Obsidian Flames,$0.01,$0.10,$2.95
2,0,0,Pidove - 11/12 - [Holofoil],McDonald's Promos 2011,$0.75,$1.28,$5.50
1,0,0,Pikachu - [Unlimited],Neo Genesis,$0.50,$1.25,$5.00
1,0,0,Pikachu,HeartGold SoulSilver,$0.50,$1.50,$5.95
4,0,0,Pikachu,SWSH07: Evolving Skies,$0.01,$0.10,$2.00
1,0,0,Pikachu (28) - [Holofoil],Pokemon GO,$0.02,$0.25,$5.45
1,0,0,Pikachu - 049/195 (Holiday Calendar) - [Holofoil],Miscellaneous Cards & Products,$0.26,$0.76,$4.99
1,0,0,Pikachu - 088 - [Holofoil],SV: Scarlet & Violet Promo Cards,$6.86,$9.90,$45.03
1,0,0,Petilil,Noble Victories,$0.10,$0.25,$1.40
1,0,0,Phanpy,Holon Phantoms,$0.14,$0.32,$2.99
1,0,0,Phantump,SM - Guardians Rising,$0.02,$0.15,$1.31
1,0,0,Phantump,SWSH02: Rebel Clash,$0.01,$0.10,$1.41
1,0,0,Pawmo,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Pawmot - 076/198 - [Holofoil],SV01: Scarlet & Violet Base Set,$0.01,$0.11,$5.00
1,0,0,Pawmot ex - [Holofoil],SV03: Obsidian Flames,$0.25,$0.73,$99.00
4,0,0,Pawniard,SWSH10: Astral Radiance,$0.01,$0.06,$999.00
2,0,0,Pawniard (92),Crown Zenith,$0.01,$0.06,$5.00
2,0,0,Peony,SWSH06: Chilling Reign,$0.01,$0.12,$2.00
2,0,0,Paras,SWSH03: Darkness Ablaze,$0.01,$0.10,$1.41
1,0,0,Parasect,Mysterious Treasures,$0.10,$0.30,$1.39
2,0,0,Parasect - [Holofoil],SWSH11: Lost Origin Trainer Gallery,$0.01,$0.68,$25.00
1,0,0,Passimian,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
1,0,0,Paldean Student - 231/091 - [Holofoil],SV: Paldean Fates,$0.05,$0.56,$7.99
1,0,0,Paldean Tauros - 108/193 - [Reverse Holofoil],SV02: Paldea Evolved,$0.04,$0.15,$4.80
5,0,0,Paldean Tauros - 108/193,SV02: Paldea Evolved,$0.01,$0.10,$2.95
1,0,0,Paldean Wooper - 129/193,SV02: Paldea Evolved,$0.01,$0.09,$2.95
1,0,0,Palkia - [Holofoil],Celebrations,$0.01,$0.15,$5.00
1,0,0,Palossand - [Reverse Holofoil],SM - Cosmic Eclipse,$0.25,$0.45,$1.53
1,0,0,Palossand,SWSH08: Fusion Strike,$0.01,$0.10,$2.00
5,0,0,Palpitoad,SWSH07: Evolving Skies,$0.01,$0.10,$1.03
1,0,0,Pancham (60),XY - Furious Fists,$0.04,$0.20,$2.00
1,0,0,Panpour,SWSH03: Darkness Ablaze,$0.01,$0.10,$2.00
1,0,0,Pansage,Black and White,$0.05,$0.22,$8.99
3,0,0,Pachirisu,SWSH09: Brilliant Stars,$0.01,$0.06,$1.05
1,0,0,Palafin,SV05: Temporal Forces,$0.01,$0.08,$5.00
1,0,0,Palafin - 124/091 - [Holofoil],SV: Paldean Fates,$1.49,$2.30,$6.07
1,0,0,Oshawott - SWSH222 - [Holofoil],SWSH: Sword & Shield Promo Cards,$0.01,$0.24,$18.00
3,0,0,Oranguru,SV02: Paldea Evolved,$0.01,$0.06,$2.95
1,0,0,Omanyte - [Unlimited],Fossil,$0.03,$0.28,$4.00
1,0,0,Octillery,Mysterious Treasures,$0.15,$0.35,$4.18
1,0,0,Octillery (Team Plasma),Plasma Blast,$0.08,$0.25,$1.66
1,0,0,Oddish - [Unlimited],Jungle,$0.03,$0.27,$4.00
5,0,0,Oddish,SWSH11: Lost Origin,$0.01,$0.05,$999.00
2,0,0,Oddish,Crown Zenith,$0.01,$0.05,$5.00
1,0,0,Oinkologne - 183/197,SV03: Obsidian Flames,$0.01,$0.10,$2.95
2,0,0,Nosepass,Arceus,$0.05,$0.25,$1.69
1,0,0,Norman,SV04: Paradox Rift,$0.01,$0.08,$5.00
3,0,0,Ninetales - [Reverse Holofoil],SWSH12: Silver Tempest,$0.06,$0.19,$2.71
1,0,0,Ninetales,SWSH12: Silver Tempest,$0.01,$0.08,$1.28
1,0,0,Ninjask,Legends Awakened,$0.25,$0.50,$5.76
1,0,0,Nickit,Shining Fates,$0.01,$0.08,$7.49
1,0,0,Nidoran M,Base Set,$0.08,$0.45,$11.00
1,0,0,Nidoran M,Triumphant,$0.07,$0.25,$1.34
2,0,0,Nidorino,Rising Rivals,$0.10,$0.25,$2.90
1,0,0,Nemona - [Reverse Holofoil],SV01: Scarlet & Violet Base Set,$0.01,$0.15,$2.95
1,0,0,Nessa,SWSH04: Vivid Voltage,$0.01,$0.10,$11.00
1,0,0,Nessa - [Reverse Holofoil],SWSH04: Vivid Voltage,$0.04,$0.25,$999.99
8,0,0,Nest Ball,SV: Paldean Fates,$0.10,$0.25,$1.99
2,0,0,Nest Ball - 2023 (Gabriel Fernandez),World Championship Decks,$0.15,$0.50,$0.98
1,0,0,Nacli - 102/182,SV04: Paradox Rift,$0.01,$0.10,$5.00
1,0,0,Mudbray - [Reverse Holofoil],SWSH04: Vivid Voltage,$0.05,$0.20,$2.00
8,0,0,Murkrow,SV02: Paldea Evolved,$0.01,$0.08,$2.95
1,0,0,Murkrow - [Reverse Holofoil],SV02: Paldea Evolved,$0.02,$0.14,$2.95
6,0,0,Moonlit Hill,SV: Paldean Fates,$0.01,$0.10,$5.00
1,0,0,Morpeko,SWSH05: Battle Styles,$0.01,$0.10,$1.00
2,0,0,Morpeko,SWSH12: Silver Tempest,$0.01,$0.06,$1.28
7,0,0,Morpeko (109),SWSH08: Fusion Strike,$0.01,$0.06,$2.00
1,0,0,Morpeko (109) - [Reverse Holofoil],SWSH08: Fusion Strike,$0.01,$0.12,$2.00
3,0,0,Morpeko (179),SWSH08: Fusion Strike,$0.01,$0.09,$1.28
1,0,0,Monferno,SWSH09: Brilliant Stars,$0.01,$0.07,$1.23
1,0,0,Monferno - [Reverse Holofoil],SWSH09: Brilliant Stars,$0.05,$0.15,$2.00
1,0,0,Mismagius,SWSH12: Silver Tempest,$0.04,$0.17,$2.00
1,0,0,Miss Fortune Sisters,SWSH11: Lost Origin,$0.01,$0.11,$10.00
1,0,0,Reversal Energy,SV02: Paldea Evolved,$0.01,$0.30,$50.00
1,0,0,Relicanth,SWSH11: Lost Origin,$0.01,$0.08,$999.00
2,0,0,Rellor - 025/193,SV02: Paldea Evolved,$0.01,$0.06,$2.95
3,0,0,Rescue Carrier,Crown Zenith,$0.01,$0.10,$1.24
1,0,0,Regidrago V - [Holofoil],SWSH12: Silver Tempest,$0.75,$1.60,$6.99
1,0,0,Regieleki V (Full Art) - [Holofoil],SWSH12: Silver Tempest,$0.90,$1.90,$11.52
1,0,0,Regirock - [Holofoil],SWSH04: Vivid Voltage,$0.04,$0.25,$5.19
1,0,0,Raticate,Undaunted,$0.05,$0.30,$1.51
3,0,0,Rattata,Base Set,$0.07,$0.40,$5.57
2,0,0,Rattata,SV: Scarlet & Violet 151,$0.01,$0.07,$4.00
1,0,0,Rayquaza V - [Holofoil],SWSH07: Evolving Skies,$0.30,$0.88,$19.95
2,0,0,Rapidash,Diamond and Pearl,$0.10,$0.30,$2.22
1,0,0,Ralts,Power Keepers,$0.04,$0.25,$2.09
1,0,0,Ralts,SM - Cosmic Eclipse,$0.03,$0.15,$1.30
1,0,0,Ralts,SWSH10: Astral Radiance,$0.04,$0.20,$1.35
1,0,0,Raihan,SWSH07: Evolving Skies,$0.01,$0.15,$2.00
1,0,0,Raikou V - [Holofoil],SWSH09: Brilliant Stars,$1.00,$3.25,$18.00
1,0,0,Quilava - [Reverse Holofoil],SWSH10: Astral Radiance,$0.10,$0.20,$2.00
2,0,0,Radiant Blastoise - [Holofoil],Pokemon GO,$2.00,$3.30,$65.00
2,0,0,Radiant Charjabug - [Holofoil],Crown Zenith,$0.01,$0.34,$55.00
1,0,0,Radiant Eevee - SWSH230 - [Holofoil],SWSH: Sword & Shield Promo Cards,$3.31,$5.50,$49.99
2,0,0,Radiant Tsareena - [Holofoil],SWSH12: Silver Tempest,$0.04,$0.42,$5.00
1,0,0,Quad Stone,SWSH12: Silver Tempest,$0.01,$0.08,$3.00
1,0,0,Quad Stone - [Reverse Holofoil],SWSH12: Silver Tempest,$0.05,$0.19,$3.14
3,0,0,Quaxly - [Holofoil],McDonald's Promos 2023,$0.24,$0.90,$4.75
2,0,0,Quaxwell - 051/193,SV02: Paldea Evolved,$0.01,$0.08,$5.03
1,0,0,Purrloin,Black and White,$0.07,$0.21,$1.34
2,0,0,Purugly,SWSH10: Astral Radiance,$0.01,$0.07,$999.00
1,0,0,Psyduck,SM - Team Up,$0.05,$0.19,$1.32
1,0,0,Psyduck (Delta Species) - [Reverse Holofoil],Holon Phantoms,$29.99,$31.04,$32.08
3,0,0,Pumpkaboo,SWSH07: Evolving Skies,$0.01,$0.08,$1.05
3,0,0,Pupitar,Pokemon GO,$0.01,$0.08,$2.03
1,0,0,Probopass - [Reverse Holofoil],Platinum,$0.35,$0.77,$4.39
1,0,0,Professor Elm's Training Method,Call of Legends,$0.10,$0.25,$2.98
1,0,0,Professor Oak's Visit,Arceus,$0.04,$0.25,$1.90
3,0,0,Professor's Research - 088/091 - [Holofoil],SV: Paldean Fates,$0.01,$0.12,$1.50
2,0,0,Professor's Research - 088/091 - [Reverse Holofoil],SV: Paldean Fates,$0.05,$0.15,$4.00
3,0,0,Professor's Research - 2023 (Gabriel Fernandez),World Championship Decks,$0.25,$0.65,$1.18
1,0,0,Premier Ball,Stormfront,$0.39,$0.69,$4.20
1,0,0,Primeape - [Reverse Holofoil],SV02: Paldea Evolved,$0.04,$0.15,$2.95
4,0,0,Primeape,SV02: Paldea Evolved,$0.01,$0.06,$2.95
3,0,0,Poliwag,Base Set,$0.14,$0.40,$2.62
3,0,0,Poliwag,SWSH11: Lost Origin,$0.01,$0.05,$999.00
