Have,Name,Game,Set,Low,Mid,High
1,Monster Reborn - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.46,$0.73,$5.00
1,Waboku - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.33,$0.70,$2.99
1,Alexandrite Dragon - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.28,$0.49,$3.99
1,Maha Vailo - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.13,$0.25,$0.99
1,Goblin Attack Force - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.19,$0.28,"$10,000.00"
1,Sinister Serpent - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$1.06,$1.99,$3.99
1,Helping Robo For Combat - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.09,$0.25,$1.19
1,Evocator Chevalier - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.25,$0.43,$1.99
1,Power Giant - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.09,$0.35,$2.99
1,Anarchist Monk Ranshin - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.10,$0.25,$0.99
1,Tasuke Knight - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.01,$0.25,$1.00
1,Half Shut - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.16,$0.25,$1.00
1,Windstorm of Etaqua - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.15,$0.25,$1.15
1,Zoma the Spirit - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.11,$0.37,$0.85
1,Half or Nothing - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.10,$0.25,$0.99
1,Power Frame - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.10,$0.25,$1.00
1,Miracle's Wake - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.08,$0.25,"$10,000.00"
1,Half Counter - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.12,$0.25,$0.99
1,Memory of an Adversary - [1st Edition],YuGiOh,Battle Pack 2: War of the Giants,$0.18,$0.29,$5.20
1,Xyz Agent - [1st Edition],YuGiOh,Judgment of the Light,$0.03,$0.25,$1.11
1,Super Defense Robot Elephan - [Unlimited],YuGiOh,Judgment of the Light,$0.04,$0.25,$1.05
1,Star Seraph Sword - [1st Edition],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.07
1,Star Seraph Sword - [Unlimited],YuGiOh,Judgment of the Light,$0.05,$0.25,$5.00
1,Umbral Horror Ghoul - [Unlimited],YuGiOh,Judgment of the Light,$0.06,$0.25,$1.09
1,Umbral Horror Ghoul - [1st Edition],YuGiOh,Judgment of the Light,$0.09,$0.25,$1.70
1,Schwarzschild Limit Dragon - [1st Edition],YuGiOh,Judgment of the Light,$0.10,$0.44,$11.50
1,Bujingi Wolf - [Unlimited],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.16
1,Brotherhood of the Fire Fist - Caribou - [Unlimited],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.28
1,Archfiend Cavalry - [1st Edition],YuGiOh,Judgment of the Light,$0.18,$0.46,$5.30
1,"Archfiend Emperor, the First Lord of Horror - [Unlimited]",YuGiOh,Judgment of the Light,$0.12,$0.25,$1.40
2,Traptrix Nepenthes - [1st Edition],YuGiOh,Judgment of the Light,$0.13,$0.50,$1.50
1,Shark Caesar - [Unlimited],YuGiOh,Judgment of the Light,$0.09,$0.25,$1.11
1,Shark Caesar - [1st Edition],YuGiOh,Judgment of the Light,$0.07,$0.25,$1.11
2,Googly-Eyes Drum Dragon - [1st Edition],YuGiOh,Judgment of the Light,$0.06,$0.25,$1.10
1,Xyz Reception - [1st Edition],YuGiOh,Judgment of the Light,$0.10,$0.26,$11.50
1,Sargasso Lighthouse - [1st Edition],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.09
1,Vertical Landing - [1st Edition],YuGiOh,Judgment of the Light,$0.04,$0.29,$1.05
1,Archfiend Palabyrinth - [1st Edition],YuGiOh,Judgment of the Light,$0.27,$0.59,$1.99
1,Xyz Revenge Shuffle - [1st Edition],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.31
1,Bujinfidel - [1st Edition],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.32
1,Sonic Boom - [1st Edition],YuGiOh,Judgment of the Light,$0.09,$0.25,$11.50
1,The Atmosphere - [1st Edition],YuGiOh,Judgment of the Light,$0.05,$0.25,$1.12
1,Fishborg Archer - [Unlimited],YuGiOh,Judgment of the Light,$0.10,$0.25,$1.11
1,Kujakujaku - [1st Edition],YuGiOh,Judgment of the Light,$0.08,$0.25,$1.09
1,Madolche Chickolates - [Unlimited],YuGiOh,Judgment of the Light,$0.10,$0.25,$1.11
1,Madolche Chickolates - [1st Edition],YuGiOh,Judgment of the Light,$0.09,$0.26,$1.11
1,"Redox, Dragon Ruler of Boulders - [Limited]",YuGiOh,2013 Collectors Tins,$1.00,$3.10,$9.99
1,Diamond Dire Wolf - [Limited],YuGiOh,2013 Collectors Tins,$0.49,$0.99,$5.00
1,Number 88: Gimmick Puppet of Leo - [Limited],YuGiOh,2013 Collectors Tins,$0.30,$0.99,$5.00
1,Rank-Up-Magic Barian's Force - [Limited],YuGiOh,2013 Collectors Tins,$0.08,$0.39,$2.95
1,Spellbook of the Master - [Limited],YuGiOh,2013 Collectors Tins,$0.50,$1.00,$6.98
1,Dark Magician - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.35,$0.64,$19.99
1,Dark Magician (UTR) - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$2.50,$10.48,$97.85
1,Mystical Elf - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.10,$0.25,$1.70
1,Giant Soldier of Stone - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.16,$0.25,$1.70
1,Summoned Skull - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.50,$1.06,$3.00
1,Neo the Magic Swordsman - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.30,$0.66,$1.39
1,Gemini Elf - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.46,$0.75,$1.98
1,Dark Blade - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.18,$0.25,$1.70
1,Kuriboh - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.25,$0.49,$1.70
1,Buster Blader - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.18,$0.50,$1.99
1,4-Starred Ladybug of Doom - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.13,$0.25,$0.98
1,Dark Magician Girl - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.62,$0.93,$1.98
2,Skilled White Magician - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.20,$0.34,$1.75
2,Skilled Dark Magician - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.24,$0.44,$1.75
1,Old Vindictive Magician - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.24,$0.49,$1.16
1,Breaker the Magical Warrior - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.43,$0.71,$1.05
1,Double Coston - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.39,$0.75,$1.01
2,Silent Swordsman LV3 - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.08,$0.25,$1.95
1,Silent Swordsman LV5 - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.08,$0.25,$1.70
1,Green Gadget - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.09,$0.25,$1.00
1,Red Gadget - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.07,$0.25,$1.00
1,Yellow Gadget - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.12,$0.25,$1.00
1,Electric Virus - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.20,$0.50,$1.75
1,Magician's Valkyria - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.70,$0.99,$1.98
1,The Tricky - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.19,$0.30,$0.98
1,Dark Hole - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.33,$0.57,$1.98
1,Swords of Revealing Light - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.25,$0.41,$0.99
1,Black Pendant - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.19,$0.41,$1.19
1,Mystical Space Typhoon - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.35,$0.62,$2.00
1,Mage Power - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.28,$0.67,$3.00
1,Book of Moon - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.72,$0.89,$2.20
1,Thousand Knives - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.20,$0.50,$1.70
1,Dark Magic Attack - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.37,$0.59,$5.36
1,Magical Dimension - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.19,$0.36,$1.70
1,Ancient Rules - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.48,$0.78,$3.00
1,Magicians Unite - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.05,$0.25,$1.70
1,Soul Taker - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.21,$0.33,$1.70
1,Shard of Greed - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.28,$0.90,$2.20
1,Trap Hole - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.20,$0.29,$0.99
1,Waboku - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.39,$0.65,$10.40
1,Mirror Force - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.82,$0.99,$2.20
1,Spellbinding Circle - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.10,$0.27,$0.98
1,Call of the Haunted - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.19,$0.25,$1.70
1,Magic Cylinder - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.52,$0.78,$1.75
1,Miracle Restoring - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.15,$0.25,$1.70
1,Zero Gravity - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.15,$0.25,$1.70
1,Rising Energy - [1st Edition],YuGiOh,Starter Deck: Yugi Reloaded,$0.15,$0.25,$0.99
1,Stand-Off - [1st Edition],YuGiOh,Legacy of the Valiant,$0.05,$0.25,$1.00
1,Interplanetarypurplythorny Beast - [1st Edition],YuGiOh,Legacy of the Valiant,$0.04,$0.25,$1.00
1,Cyber Shark - [Unlimited],YuGiOh,Astral Pack 1,$0.26,$0.55,$2.00
1,Blue-Eyes White Dragon - [Limited],YuGiOh,Legendary Collection 1,$0.39,$0.99,$8.67
1,Dark Magician - [Limited],YuGiOh,Legendary Collection 1,$0.19,$0.80,$10.00
1,Red-Eyes B. Dragon - [Limited],YuGiOh,Legendary Collection 1,$0.25,$0.79,$4.10
1,Galaxy Dragon - [1st Edition],YuGiOh,Primal Origin,$0.18,$0.40,$1.43
1,ZS - Vanish Sage - [1st Edition],YuGiOh,Primal Origin,$0.08,$0.25,$1.00
1,Number 42: Galaxy Tomahawk - [1st Edition],YuGiOh,Primal Origin,$0.25,$0.48,$3.00
1,Sylvan Cherubsprout - [1st Edition],YuGiOh,Primal Origin,$0.07,$0.25,$1.00
1,Mecha Phantom Beast O-Lion - [1st Edition],YuGiOh,Primal Origin,$0.29,$0.71,$14.25
1,Ancient Gear Box - [1st Edition],YuGiOh,Primal Origin,$0.60,$1.06,$9.00
1,Bujintervention - [1st Edition],YuGiOh,Primal Origin,$0.03,$0.25,$5.15
1,Command Knight - [Limited],YuGiOh,2004 Collectors Tin,$0.85,$2.89,$12.00
1,Power Invader - [Unlimited],YuGiOh,Absolute Powerforce,$0.10,$0.24,$1.70
1,Avatar of the Pot - [Unlimited],YuGiOh,Ancient Sanctuary,$0.21,$0.40,$5.21
1,Legendary Jujitsu Master - [1st Edition],YuGiOh,Ancient Sanctuary,$0.66,$0.99,$3.00
1,Piranha Army - [Unlimited],YuGiOh,Ancient Sanctuary,$0.05,$0.24,$1.00
1,Sand Gambler - [Unlimited],YuGiOh,Ancient Sanctuary,$0.14,$0.28,$1.00
1,Spirit Caller - [Unlimited],YuGiOh,Ancient Sanctuary,$0.05,$0.21,$0.96
1,Mystik Wok - [Unlimited],YuGiOh,Ancient Sanctuary,$0.99,$2.99,$6.98
2,Desert Sunlight - [1st Edition],YuGiOh,Ancient Sanctuary,$0.17,$1.24,$4.98
1,Wall of Revealing Light - [Unlimited],YuGiOh,Ancient Sanctuary,$0.74,$1.74,$5.27
1,Man Beast of Ares - [1st Edition],YuGiOh,Cyberdark Impact,$0.01,$0.25,$0.99
1,Pot of Generosity - [1st Edition],YuGiOh,Cybernetic Revolution,$0.10,$0.25,$1.00
1,Tyranno Infinity - [Unlimited],YuGiOh,Cybernetic Revolution,$0.14,$0.25,$1.10
1,Bark of Dark Ruler - [Unlimited],YuGiOh,Dark Beginning 2,$0.05,$0.24,$1.10
1,Blindly Loyal Goblin - [1st Edition],YuGiOh,Dark Crisis,$0.21,$0.49,$3.64
1,Despair from the Dark - [Unlimited],YuGiOh,Dark Crisis,$0.09,$0.35,$1.60
1,Shinato's Ark - [Unlimited],YuGiOh,Dark Crisis,$0.09,$0.50,$1.49
1,Contract with Exodia - [Unlimited],YuGiOh,Dark Crisis,$0.19,$0.60,$4.20
1,Twin Swords of Flashing Light - Tryce - [Unlimited],YuGiOh,Dark Crisis,$0.08,$0.41,$1.32
1,Ojama Trio - [Unlimited],YuGiOh,Dark Crisis,$0.20,$0.75,$2.75
1,Skill Drain - [Unlimited],YuGiOh,Dark Crisis,$1.00,$3.34,$39.94
1,Iron Blacksmith Kotetsu - [Unlimited],YuGiOh,Dark Crisis,$0.10,$0.37,$1.49
2,Desrook Archfiend - [Unlimited],YuGiOh,Dark Crisis,$0.05,$0.25,$1.10
1,Kelbek - [Unlimited],YuGiOh,Dark Crisis,$0.01,$0.23,$1.40
1,Zolga - [Unlimited],YuGiOh,Dark Crisis,$0.01,$0.24,$1.99
1,Contract with the Abyss - [1st Edition],YuGiOh,Dark Crisis,$0.67,$1.57,$5.00
1,Checkmate - [Unlimited],YuGiOh,Dark Crisis,$0.05,$0.20,$1.00
1,Cestus of Dagla - [Unlimited],YuGiOh,Dark Crisis,$0.05,$0.25,$1.41
1,Restructer Revolution - [Limited],YuGiOh,Duelist League Promo,$0.10,$0.43,$9.95
1,Dark Magician - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.20,$0.50,$1.98
1,Summoned Skull - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.85,$1.33,$3.97
1,Queen's Knight - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.04,$0.25,$1.75
2,Buster Blader - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.10,$0.25,"$1,000.20"
1,King's Knight - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.06,$0.25,$1.75
1,Yellow Gadget - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.25,$1.70
1,Black Luster Soldier - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.30,$0.74,$4.98
1,Monster Reborn - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.19,$0.69,$3.00
1,Black Luster Ritual - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.26,$1.75
1,Diffusion Wave-Motion - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.24,$1.19
1,Spellbinding Circle - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.10,$0.25,$1.46
2,Lightforce Sword - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.04,$0.25,$1.70
1,Stronghold the Moving Fortress - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.24,$1.23
1,Destiny Hero - Blade Master - [Unlimited],YuGiOh,Duelist Pack 5: Aster Phoenix,$0.10,$0.26,$1.19
1,Ojama Yellow - [Unlimited],YuGiOh,Duelist Pack 2: Chazz Princeton,$0.17,$0.68,$3.48
1,XYZ-Dragon Cannon - [Unlimited],YuGiOh,Duelist Pack 2: Chazz Princeton,$0.15,$0.43,$5.38
1,Elemental Hero Avian - [1st Edition],YuGiOh,Duelist Pack 1: Jaden Yuki,$0.19,$0.42,$3.99
1,Elemental Hero Sparkman - [1st Edition],YuGiOh,Duelist Pack 1: Jaden Yuki,$0.29,$0.69,$4.99
1,Elemental Hero Bubbleman - [1st Edition],YuGiOh,Duelist Pack 1: Jaden Yuki,$0.20,$0.56,$1.75
1,Bubble Illusion - [Unlimited],YuGiOh,Duelist Pack 1: Jaden Yuki,$2.39,$3.44,$12.99
1,R - Righteous Justice - [1st Edition],YuGiOh,Duelist Pack 3: Jaden Yuki 2,$0.13,$0.25,$1.20
1,O - Oversoul - [1st Edition],YuGiOh,Duelist Pack 3: Jaden Yuki 2,$0.10,$0.30,$1.10
2,Swordstalker - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.10,$0.25,$1.00
2,Saggi the Dark Clown - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.16,$0.31,$1.70
1,Different Dimension Dragon - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.25,$1.98
1,Kaiser Glider - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.25,$1.98
3,Enraged Battle Ox - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.25,$1.10
1,Familiar Knight - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.04,$0.25,$1.00
1,Magic Reflector - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.15,$0.30,$5.27
1,Cost Down - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.35,"$1,000.18"
2,Ring of Defense - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.07,$0.25,$1.09
1,Interdimensional Matter Transporter - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.04,$0.24,$1.00
1,Monoceros - [1st Edition],YuGiOh,Duelist Revolution,$0.14,$0.25,$1.10
1,Naturia Mosquito - [1st Edition],YuGiOh,Duelist Revolution,$0.20,$0.33,$1.10
1,Blind Spot Strike - [1st Edition],YuGiOh,Duelist Revolution,$0.09,$0.25,$1.13
1,Blade Skater - [Unlimited],YuGiOh,Elemental Energy,$0.04,$0.25,$1.10
1,Chthonian Polymer - [Unlimited],YuGiOh,Elemental Energy,$0.05,$0.22,$1.10
2,Batteryman D - [Unlimited],YuGiOh,Enemy of Justice,$0.10,$0.24,$0.77
1,Elemental Hero Necroid Shaman - [1st Edition],YuGiOh,Enemy of Justice,$0.25,$0.53,$1.70
1,Force Resonator - [1st Edition],YuGiOh,Extreme Victory,$0.33,$0.59,$2.50
1,T.G. Warwolf - [Unlimited],YuGiOh,Extreme Victory,$0.21,$0.39,$1.35
1,ESP Amplifier - [Unlimited],YuGiOh,Extreme Victory,$0.08,$0.25,$0.50
1,Kangaroo Champ - [Unlimited],YuGiOh,Flaming Eternity,$0.05,$0.24,$0.86
1,Armed Samurai - Ben Kei - [Unlimited],YuGiOh,Flaming Eternity,$0.10,$0.41,$1.86
1,The Light - Hex-Sealed Fusion - [Unlimited],YuGiOh,Flaming Eternity,$0.70,$1.99,$9.00
1,Volcanic Hammerer - [1st Edition],YuGiOh,Force of the Breaker,$0.06,$0.25,$1.10
1,Sky Scourge Norleras - [1st Edition],YuGiOh,Force of the Breaker,$3.14,$4.99,$20.00
1,Dweller in the Depths - [1st Edition],YuGiOh,Force of the Breaker,$0.07,$0.25,$1.31
1,Gravi-Crush Dragon - [1st Edition],YuGiOh,Force of the Breaker,$0.03,$0.25,$8.00
1,Wild Fire - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.70
1,"Otherworld - The ""A"" Zone - [1st Edition]",YuGiOh,Force of the Breaker,$0.04,$0.25,$1.10
1,Last Resort - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.59
1,Terrible Deal - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.10
1,Hard-sellin' Zombie - [1st Edition],YuGiOh,Force of the Breaker,$0.03,$0.25,$1.10
2,Perditious Puppeteer - [1st Edition],YuGiOh,Generation Force,$0.09,$0.25,$1.12
1,Dragunity Corsesca - [Unlimited],YuGiOh,Hidden Arsenal 4,$0.09,$0.35,$2.35
1,Soul Tiger - [1st Edition],YuGiOh,Invasion of Chaos,$0.13,$0.27,$0.50
1,Spirit of the Pot of Greed - [Unlimited],YuGiOh,Invasion of Chaos,$0.10,$0.49,$1.25
1,Inferno - [Unlimited],YuGiOh,Invasion of Chaos,$0.05,$0.24,$1.98
1,Gigantes - [Unlimited],YuGiOh,Invasion of Chaos,$0.07,$0.36,$2.20
2,Chaos Sorcerer - [Unlimited],YuGiOh,Invasion of Chaos,$0.08,$0.50,$2.00
1,Gren Maju Da Eiza - [1st Edition],YuGiOh,Invasion of Chaos,$0.35,$1.36,$4.71
1,Granadora - [Unlimited],YuGiOh,Invasion of Chaos,$0.10,$0.38,$2.99
1,Chaos Greed - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.25,$1.10
1,Tower of Babel - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.24,$1.98
1,Blazing Inpachi - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.20,$1.10
1,Gora Turtle of Illusion - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.22,$1.98
1,Hyper Hammerhead - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.25,$1.98
1,Salvage - [Unlimited],YuGiOh,Invasion of Chaos,$0.10,$0.35,$3.30
1,Robbin' Zombie - [Unlimited],YuGiOh,Invasion of Chaos,$0.05,$0.29,$3.00
1,Invader of Darkness - [1st Edition],YuGiOh,Invasion of Chaos,$6.25,$18.99,$78.75
1,Skull Lair - [Unlimited],YuGiOh,Labyrinth of Nightmare,$0.05,$0.32,$3.00
1,Soul Demolition - [Unlimited],YuGiOh,Legacy of Darkness,$0.05,$0.22,$1.32
1,Super Rejuvenation - [1st Edition],YuGiOh,Legacy of Darkness,$0.20,$0.59,$3.29
1,Patrician of Darkness - [Unlimited],YuGiOh,Legacy of Darkness,$0.05,$0.24,$1.40
1,A Wingbeat of Giant Dragon - [Unlimited],YuGiOh,Legacy of Darkness,$0.09,$0.25,$0.98
1,Inaba White Rabbit - [Unlimited],YuGiOh,Legacy of Darkness,$0.71,$1.18,$3.00
2,The Dragon dwelling in the Cave - [Unlimited],YuGiOh,Legacy of Darkness,$0.05,$0.24,$1.10
1,Throwstone Unit - [1st Edition],YuGiOh,Legacy of Darkness,$0.10,$0.25,$1.97
1,Short Circuit - [Unlimited],YuGiOh,Light of Destruction,$0.05,$0.30,$1.00
1,Lost Guardian - [Unlimited],YuGiOh,The Lost Millennium,$0.08,$0.23,$5.13
1,Mine Golem - [Unlimited],YuGiOh,The Lost Millennium,$0.04,$0.24,$1.00
1,Grave Lure - [Unlimited],YuGiOh,The Lost Millennium,$0.05,$0.22,$1.00
1,Metal Fish - [Unlimited],YuGiOh,Magic Ruler,$0.03,$0.20,$1.98
