,Qty,Min,Avg,High
Have,5317,"$1,260.12","$2,684.49","$632,687.95"
Have,Name,Game,Set,Low,Mid,High
1,Ehther the Heavenly Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.65,$0.96,$10.39
1,Erebus the Underworld Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.97,$2.00,$9.98
1,Erebus the Underworld Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.99,$1.40,$3.00
1,Eidos the Underworld Squire - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.50,$5.00
1,Eidos the Underworld Squire - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.41,$9.98
1,Edea the Heavenly Squire - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.09,$0.45,$7.95
1,Edea the Heavenly Squire - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.09,$0.40,$4.78
1,Caius the Shadow Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$2.25,$3.11,$9.00
1,Caius the Shadow Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$2.49,$4.19,$12.98
1,Zaborg the Thunder Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.50,$0.79,$1.98
1,Zaborg the Thunder Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.49,$0.82,$1.25
1,Granmarg the Rock Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.11,$0.32,$1.98
1,Granmarg the Rock Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.19,$0.31,$2.17
1,Mobius the Frost Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.99,$1.17,$3.22
1,Mobius the Frost Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.49,$1.10,$3.00
1,Thestalos the Firestorm Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.40,$0.59,$2.56
1,Thestalos the Firestorm Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.42,$0.83,$2.56
1,Raiza the Storm Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.38,$0.82,$1.61
1,Raiza the Storm Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.44,$0.60,$2.49
1,Mithra the Thunder Vassal - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.89,$1.30,$9.98
1,Mithra the Thunder Vassal - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.50,$0.75,$0.93
1,Landrobe the Rock Vassal - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.19,$0.29,$1.00
1,Landrobe the Rock Vassal - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.25,$1.22
1,Escher the Frost Vassal - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.25,$1.20
1,Escher the Frost Vassal - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.06,$0.25,$1.25
1,Berlineth the Firestorm Vassal - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.25,$0.99
1,Berlineth the Firestorm Vassal - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.18,$0.25,$1.20
1,Garum the Storm Vassal - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.12,$0.25,$1.99
1,Garum the Storm Vassal - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.09,$0.25,$1.31
1,Illusory Snatcher - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.08,$0.25,$1.00
1,Illusory Snatcher - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.02,$0.25,$1.20
1,Tragoedia - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.22,$0.30,$1.98
1,Tragoedia - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.24,$0.31,$5.39
1,Dandylion - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.33,$1.00,$3.41
1,Dandylion - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.44,$0.99,$3.41
1,Mathematician - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.11,$0.39,$1.98
1,Mathematician - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.39,$1.99
1,Level Eater - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.09,$0.25,$1.30
1,Level Eater - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.17,$0.25,$1.18
1,Battle Fader - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.29,$0.82,$1.42
1,Battle Fader - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.39,$0.50,$1.98
1,Rainbow Kuriboh - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.82,$1.25,$3.00
1,Rainbow Kuriboh - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.90,$1.10,$1.47
1,Pantheism of the Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.80,$1.48,$5.97
1,Pantheism of the Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.84,$1.88,$8.00
1,Domain of the True Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.41,$4.98
1,Domain of the True Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.15,$0.49,$3.01
1,March of the Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.21,$0.44,$1.50
1,March of the Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.40,$1.39
1,Return of the Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.45,$1.58,$3.98
1,Return of the Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.50,$1.53,$5.98
1,The Monarchs Stormforth - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.17,$0.33,$1.24
1,The Monarchs Stormforth - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.38,$1.08
1,Strike of the Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.06,$0.25,$4.11
1,Strike of the Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.25,$1.15
1,Tenacity of the Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.45,$1.04,$1.99
1,Tenacity of the Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.54,$1.00,$3.00
1,Soul Exchange - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.06,$0.29,$5.27
1,Soul Exchange - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.09,$0.25,$1.21
1,Enemy Controller - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.15,$0.39,$1.25
1,Enemy Controller - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.21,$0.42,$1.99
1,Dicephoon - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.25,$1.27
1,Dicephoon - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.29,$1.22
1,Soul Charge - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.22,$0.47,$2.99
1,Soul Charge - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.41,$7.20
1,The Prime Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.47,$3.34
1,The Prime Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.41,$3.29
1,The First Monarch - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.15,$0.31,$1.19
1,The First Monarch - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.09,$0.25,$1.00
1,Escalation of the Monarchs - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.25,$0.50,$1.98
1,Escalation of the Monarchs - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.35,$0.70,$1.40
1,The Monarchs Awaken - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.04,$0.25,$1.11
1,The Monarchs Awaken - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.08,$0.25,$5.14
1,The Monarchs Erupt - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.15,$0.49,$5.00
1,The Monarchs Erupt - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.20,$0.49,$6.89
1,By Order of the Emperor - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.25,$1.16
1,By Order of the Emperor - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.05,$0.25,$1.00
1,Pinpoint Guard - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.15,$0.25,$1.00
1,Pinpoint Guard - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.14,$0.33,$1.21
1,Lucius the Shadow Vassal - [Unlimited],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.25,$1.20
1,Lucius the Shadow Vassal - [1st Edition],YuGiOh,Structure Deck: Emperor of Darkness,$0.10,$0.25,$1.41
1,Evosoda,Pokemon,Generations,$0.79,$1.26,$19.99
1,Poke Ball,Pokemon,Generations,$0.01,$0.24,$1.00
1,Junk Changer - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.10,$0.49,$4.98
1,Junkuriboh - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.49,$0.85,$9.00
1,Magical King Moonstar - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.19,$0.73,$11.00
1,Number 38: Hope Harbinger Dragon Titanic Galaxy - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$5.99,$8.69,$24.99
1,Tsukumo Slash - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.09,$0.31,$4.98
1,King's Consonance - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.20,$0.50,$4.98
1,"Beatrice, Lady of the Eternal - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$1.78,$3.28,$20.00
1,Kozmotown - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.23,$0.61,$4.98
1,Treacherous Trap Hole - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.31,$0.69,$7.00
1,Deep Dark Trap Hole - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.32,$0.69,$4.98
1,Void Trap Hole - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.10,$0.96,$28.99
1,Time-Space Trap Hole - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.74,$1.80,$10.00
1,"Vector Pendulum, the Dracoverlord - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.19,$0.68,$3.00
1,"Scarm, Malebranche of the Burning Abyss - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.80,$1.42,$10.00
1,"Cagna, Malebranche of the Burning Abyss - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.15,$0.39,$1.99
1,"Draghig, Malebranche of the Burning Abyss - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.11,$0.50,$3.00
1,"Barbar, Malebranche of the Burning Abyss - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.21,$0.53,$5.00
1,"Virgil, Rock Star of the Burning Abyss - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.10,$0.45,$5.00
1,Number 11: Big Eye - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$4.00,$8.94,$21.39
1,Constellar Pleiades - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.54,$1.23,$3.01
1,Bahamut Shark - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$0.57,$1.76,$20.99
1,Lightning Chidori - [1st Edition],YuGiOh,Premium Gold: Infinite Gold,$2.75,$4.72,$9.95
1,"Majester Paladin, the Ascending Dracoslayer - [1st Edition]",YuGiOh,Premium Gold: Infinite Gold,$0.09,$0.35,$3.01
1,Command Knight - [Limited],YuGiOh,2004 Collectors Tin,$0.85,$2.92,$12.00
1,Junk Synchron - [1st Edition],YuGiOh,5D's 2008 Starter Deck,$0.61,$1.62,$4.95
1,Dark Blade - [1st Edition],YuGiOh,5D's 2008 Starter Deck,$0.10,$0.25,$5.25
1,Power Invader - [Unlimited],YuGiOh,Absolute Powerforce,$0.10,$0.25,$1.70
1,Avatar of the Pot - [Unlimited],YuGiOh,Ancient Sanctuary,$0.21,$0.40,$5.21
1,Legendary Jujitsu Master - [1st Edition],YuGiOh,Ancient Sanctuary,$0.66,$0.99,$3.00
1,Piranha Army - [Unlimited],YuGiOh,Ancient Sanctuary,$0.05,$0.25,$1.00
1,Sand Gambler - [Unlimited],YuGiOh,Ancient Sanctuary,$0.13,$0.28,$1.00
1,Spirit Caller - [Unlimited],YuGiOh,Ancient Sanctuary,$0.02,$0.20,$0.96
1,Mystik Wok - [Unlimited],YuGiOh,Ancient Sanctuary,$1.60,$2.99,$6.98
2,Desert Sunlight - [1st Edition],YuGiOh,Ancient Sanctuary,$0.17,$1.27,$4.98
1,Wall of Revealing Light - [Unlimited],YuGiOh,Ancient Sanctuary,$0.75,$1.69,$5.27
1,Man Beast of Ares - [1st Edition],YuGiOh,Cyberdark Impact,$0.01,$0.25,$0.99
1,Pot of Generosity - [1st Edition],YuGiOh,Cybernetic Revolution,$0.10,$0.25,$1.00
1,Tyranno Infinity - [Unlimited],YuGiOh,Cybernetic Revolution,$0.10,$0.25,$1.10
1,Bark of Dark Ruler - [Unlimited],YuGiOh,Dark Beginning 2,$0.05,$0.24,$1.10
1,Blindly Loyal Goblin - [1st Edition],YuGiOh,Dark Crisis,$0.21,$0.48,$3.28
1,Despair from the Dark - [Unlimited],YuGiOh,Dark Crisis,$0.09,$0.33,$1.60
1,Shinato's Ark - [Unlimited],YuGiOh,Dark Crisis,$0.09,$0.50,$1.49
1,Contract with Exodia - [Unlimited],YuGiOh,Dark Crisis,$0.15,$0.52,$4.20
1,Twin Swords of Flashing Light - Tryce - [Unlimited],YuGiOh,Dark Crisis,$0.09,$0.41,$1.32
1,Ojama Trio - [Unlimited],YuGiOh,Dark Crisis,$0.22,$0.80,$2.75
1,Skill Drain - [Unlimited],YuGiOh,Dark Crisis,$1.00,$3.10,$18.99
1,Iron Blacksmith Kotetsu - [Unlimited],YuGiOh,Dark Crisis,$0.10,$0.35,$1.49
2,Desrook Archfiend - [Unlimited],YuGiOh,Dark Crisis,$0.05,$0.25,$1.10
1,Kelbek - [Unlimited],YuGiOh,Dark Crisis,$0.01,$0.24,$1.40
1,Zolga - [Unlimited],YuGiOh,Dark Crisis,$0.01,$0.24,$1.99
1,Contract with the Abyss - [1st Edition],YuGiOh,Dark Crisis,$0.67,$1.55,$5.00
1,Checkmate - [Unlimited],YuGiOh,Dark Crisis,$0.05,$0.21,$1.00
1,Cestus of Dagla - [Unlimited],YuGiOh,Dark Crisis,$0.05,$0.25,$1.41
1,Restructer Revolution - [Limited],YuGiOh,Duelist League Promo,$0.09,$0.40,$1.99
1,Dark Magician - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.10,$0.50,$1.98
1,Summoned Skull - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.75,$1.32,$5.00
1,Queen's Knight - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.04,$0.25,$1.75
2,Buster Blader - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.10,$0.25,"$1,000.20"
1,King's Knight - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.06,$0.25,$1.75
1,Yellow Gadget - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.25,$1.70
1,Black Luster Soldier - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.30,$0.73,$4.98
1,Monster Reborn - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.19,$0.68,$3.00
1,Black Luster Ritual - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.25,$1.75
1,Diffusion Wave-Motion - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.24,$1.19
1,Spellbinding Circle - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.10,$0.25,$1.46
2,Lightforce Sword - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.04,$0.25,$1.70
1,Stronghold the Moving Fortress - [Unlimited],YuGiOh,Duelist Pack: Yugi,$0.05,$0.24,$1.23
1,Destiny Hero - Blade Master - [Unlimited],YuGiOh,Duelist Pack 5: Aster Phoenix,$0.10,$0.25,$1.19
1,Ojama Yellow - [Unlimited],YuGiOh,Duelist Pack 2: Chazz Princeton,$0.12,$0.66,$3.48
1,XYZ-Dragon Cannon - [Unlimited],YuGiOh,Duelist Pack 2: Chazz Princeton,$0.15,$0.45,$5.38
1,Elemental Hero Avian - [1st Edition],YuGiOh,Duelist Pack 1: Jaden Yuki,$0.19,$0.41,$3.99
1,Elemental Hero Sparkman - [1st Edition],YuGiOh,Duelist Pack 1: Jaden Yuki,$0.25,$0.69,$4.99
1,Elemental Hero Bubbleman - [1st Edition],YuGiOh,Duelist Pack 1: Jaden Yuki,$0.20,$0.50,$1.75
1,Bubble Illusion - [Unlimited],YuGiOh,Duelist Pack 1: Jaden Yuki,$2.38,$3.36,$12.99
1,R - Righteous Justice - [1st Edition],YuGiOh,Duelist Pack 3: Jaden Yuki 2,$0.07,$0.25,$1.20
1,O - Oversoul - [1st Edition],YuGiOh,Duelist Pack 3: Jaden Yuki 2,$0.09,$0.30,$1.10
2,Swordstalker - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.10,$0.25,$1.00
2,Saggi the Dark Clown - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.14,$0.30,$1.70
1,Different Dimension Dragon - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.25,$1.98
1,Kaiser Glider - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.25,$1.98
3,Enraged Battle Ox - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.25,$1.10
1,Familiar Knight - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.04,$0.25,$1.00
1,Magic Reflector - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.19,$0.30,$5.27
1,Cost Down - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.05,$0.35,"$1,000.18"
2,Ring of Defense - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.07,$0.25,$1.09
1,Interdimensional Matter Transporter - [Unlimited],YuGiOh,Duelist Pack: Kaiba,$0.04,$0.21,$1.00
1,Monoceros - [1st Edition],YuGiOh,Duelist Revolution,$0.14,$0.25,$1.10
1,Naturia Mosquito - [1st Edition],YuGiOh,Duelist Revolution,$0.20,$0.34,$1.10
1,Blind Spot Strike - [1st Edition],YuGiOh,Duelist Revolution,$0.09,$0.25,$1.10
1,Blade Skater - [Unlimited],YuGiOh,Elemental Energy,$0.06,$0.25,$1.10
1,Chthonian Polymer - [Unlimited],YuGiOh,Elemental Energy,$0.05,$0.22,$1.10
2,Batteryman D - [Unlimited],YuGiOh,Enemy of Justice,$0.10,$0.25,$0.77
1,Elemental Hero Necroid Shaman - [1st Edition],YuGiOh,Enemy of Justice,$0.25,$0.53,$1.70
1,Force Resonator - [1st Edition],YuGiOh,Extreme Victory,$0.34,$0.59,$2.50
1,T.G. Warwolf - [Unlimited],YuGiOh,Extreme Victory,$0.21,$0.45,$1.35
1,ESP Amplifier - [Unlimited],YuGiOh,Extreme Victory,$0.08,$0.24,$0.50
1,Kangaroo Champ - [Unlimited],YuGiOh,Flaming Eternity,$0.05,$0.24,$0.86
1,Armed Samurai - Ben Kei - [Unlimited],YuGiOh,Flaming Eternity,$0.10,$0.41,$1.86
1,The Light - Hex-Sealed Fusion - [Unlimited],YuGiOh,Flaming Eternity,$0.68,$1.49,$9.00
1,Volcanic Hammerer - [1st Edition],YuGiOh,Force of the Breaker,$0.09,$0.26,$1.10
1,Sky Scourge Norleras - [1st Edition],YuGiOh,Force of the Breaker,$3.40,$12.34,$20.00
1,Dweller in the Depths - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.31
1,Gravi-Crush Dragon - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$8.00
1,Wild Fire - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.70
1,"Otherworld - The ""A"" Zone - [1st Edition]",YuGiOh,Force of the Breaker,$0.05,$0.25,$1.10
1,Last Resort - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.59
1,Terrible Deal - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.10
1,Hard-sellin' Zombie - [1st Edition],YuGiOh,Force of the Breaker,$0.05,$0.25,$1.10
2,Perditious Puppeteer - [1st Edition],YuGiOh,Generation Force,$0.09,$0.25,$1.12
1,Dragunity Corsesca - [Unlimited],YuGiOh,Hidden Arsenal 4,$0.09,$0.35,$2.35
1,Soul Tiger - [1st Edition],YuGiOh,Invasion of Chaos,$0.13,$0.27,$0.50
1,Spirit of the Pot of Greed - [Unlimited],YuGiOh,Invasion of Chaos,$0.10,$0.49,$1.25
1,Inferno - [Unlimited],YuGiOh,Invasion of Chaos,$0.05,$0.24,$1.98
1,Gigantes - [Unlimited],YuGiOh,Invasion of Chaos,$0.07,$0.35,$2.20
2,Chaos Sorcerer - [Unlimited],YuGiOh,Invasion of Chaos,$0.08,$0.49,$2.00
1,Gren Maju Da Eiza - [1st Edition],YuGiOh,Invasion of Chaos,$0.70,$1.33,$4.71
1,Granadora - [Unlimited],YuGiOh,Invasion of Chaos,$0.10,$0.39,$2.99
1,Chaos Greed - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.25,$1.10
1,Tower of Babel - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.24,$1.98
1,Blazing Inpachi - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.21,$1.10
1,Gora Turtle of Illusion - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.22,$1.98
1,Hyper Hammerhead - [Unlimited],YuGiOh,Invasion of Chaos,$0.01,$0.25,$1.98
1,Salvage - [Unlimited],YuGiOh,Invasion of Chaos,$0.10,$0.35,$3.30
1,Robbin' Zombie - [Unlimited],YuGiOh,Invasion of Chaos,$0.05,$0.29,$3.00
1,Invader of Darkness - [1st Edition],YuGiOh,Invasion of Chaos,$7.50,$16.97,$78.75
1,Skull Lair - [Unlimited],YuGiOh,Labyrinth of Nightmare,$0.05,$0.32,$3.00
1,Soul Demolition - [Unlimited],YuGiOh,Legacy of Darkness,$0.05,$0.22,$1.32
1,Super Rejuvenation - [1st Edition],YuGiOh,Legacy of Darkness,$0.20,$0.59,$3.29
1,Patrician of Darkness - [Unlimited],YuGiOh,Legacy of Darkness,$0.05,$0.24,$1.40
1,A Wingbeat of Giant Dragon - [Unlimited],YuGiOh,Legacy of Darkness,$0.09,$0.25,$0.98
1,Inaba White Rabbit - [Unlimited],YuGiOh,Legacy of Darkness,$0.71,$1.26,$3.00
1,Throwstone Unit - [1st Edition],YuGiOh,Legacy of Darkness,$0.10,$0.25,$1.97
2,The Dragon dwelling in the Cave - [Unlimited],YuGiOh,Legacy of Darkness,$0.05,$0.24,$1.10
1,Short Circuit - [Unlimited],YuGiOh,Light of Destruction,$0.05,$0.30,$1.00
1,Lost Guardian - [Unlimited],YuGiOh,The Lost Millennium,$0.08,$0.22,$5.13
1,Mine Golem - [Unlimited],YuGiOh,The Lost Millennium,$0.04,$0.24,$1.00
1,Grave Lure - [Unlimited],YuGiOh,The Lost Millennium,$0.05,$0.21,$1.00
1,Metal Fish - [Unlimited],YuGiOh,Magic Ruler,$0.03,$0.20,$1.98
1,Commencement Dance - [Unlimited],YuGiOh,Magic Ruler,$0.04,$0.22,$1.00
1,Octoberser - [Unlimited],YuGiOh,Magic Ruler,$0.02,$0.20,$4.99
1,Ryu-Ran - [Unlimited],YuGiOh,Magic Ruler,$0.05,$0.25,$2.09
1,Sonic Duck - [1st Edition],YuGiOh,Magician's Force,$0.25,$0.50,$5.00
1,Zombie Tiger - [Unlimited],YuGiOh,Magician's Force,$0.05,$0.24,$1.05
1,Cliff the Trap Remover - [Unlimited],YuGiOh,Magician's Force,$0.97,$1.39,$3.10
1,Magical Marionette - [Unlimited],YuGiOh,Magician's Force,$0.14,$0.29,$2.99
1,Moon Envoy - [Limited],YuGiOh,McDonald's Promo Series 2,$0.28,$0.90,$6.31
1,Kojikocy - [Unlimited],YuGiOh,Metal Raiders,$0.05,$0.24,$1.00
1,Larvae Moth - [Unlimited],YuGiOh,Metal Raiders,$0.09,$0.34,$32.00
1,Launcher Spider - [Unlimited],YuGiOh,Metal Raiders,$0.02,$0.24,$1.00
1,Feral Imp - [Unlimited],YuGiOh,Metal Raiders,$0.12,$0.30,$2.10
1,Harpie Lady (Original Artwork) - [Unlimited],YuGiOh,Metal Raiders,$0.98,$2.75,$70.00
1,Block Attack - [Unlimited],YuGiOh,Metal Raiders,$0.04,$0.24,$1.00
1,Ancient Elf - [1st Edition],YuGiOh,Metal Raiders,$0.48,$0.98,$3.99
